organization,title,location,job_url,source_type,source_provider
Berrigan Elementary School,"Dec 4, 2025 - Direction of The Supervisor - Consultation Plan for New East Urban Community Elementary School Boundary",Direction,https://www.ocdsb.ca/about-us/connect-with-ocdsb/supervisor-updates/consultation-plan-for-new-east-urban-community-elementary-school-boundary,static_html_listing,
Berrigan Elementary School,"Mar 30, 2026 - Direction of The Supervisor - New East Urban Community Elementary School Study",Direction,https://www.ocdsb.ca/about-us/connect-with-ocdsb/supervisor-updates/new-east-urban-community-elementary-school-study,static_html_listing,
Berrigan Elementary School,"Sep 19, 2025 - Direction of The Supervisor - Trustee Governance Role Clarification",Direction,https://www.ocdsb.ca/about-us/connect-with-ocdsb/supervisor-updates/sep-19-2025-direction-of-the-supervisor-trustee-governance-role-clarification,static_html_listing,
Berrigan Elementary School,"Sep 19, 2025 - Direction of The Supervisor - Governance Policy Rescissions",Direction,https://www.ocdsb.ca/about-us/connect-with-ocdsb/supervisor-updates/sep-19-2025-direction-of-the-supervisor-governance-policy-rescissions,static_html_listing,
Berrigan Elementary School,"Sep 19, 2025 - Direction of The Supervisor - Supervisor Committee Appointments",,https://www.ocdsb.ca/about-us/connect-with-ocdsb/supervisor-updates/sep-19-2025-direction-of-the-supervisor-supervisor-committee-appointments,static_html_listing,
Berrigan Elementary School,OCISO Multicultural Liaison Officers (MLOs),,https://www.ocdsb.ca/about-us/ociso-multicultural-liaison-officers-mlos,static_html_listing,
Berrigan Elementary School,OCDSB Office of the Human Rights and Equity AdvisorUseful Resources,,https://www.ocdsb.ca/about-us/ocdsb-office-of-the-human-rights-and-equity-advisor,static_html_listing,
Benteler,Engineering & Technology,,https://career.benteler.com/en/start-at-benteler/engineering-technology/,static_html_listing,
Benteler,“Leading Employer Global 2024”,,https://career.benteler.com/en/?utm_source=corporate-website&utm_medium=website&utm_campaign=en#fly-in-2058-item-1,static_html_listing,
Benteler,Leading Employers,,https://www.leading-employers.org/,static_html_listing,
BFL CANADA,Directors and Officers Liability and Executive Risks,,https://www.bflcanada.ca/directors-and-officers-liability-and-executive-risks/,ats,ukg_pro
BFL CANADA,Risk Advisory Services,,https://www.bflcanada.ca/careers/#section-2,ats,ukg_pro
BFL CANADA,Risk Control and Engineering,,https://www.bflcanada.ca/risk-advisory-services/risk-advisory-risk-control-and-engineering-rce/,ats,ukg_pro
BFL CANADA,Board of Directors,,https://www.bflcanada.ca/board-of-directors/,ats,ukg_pro
BFL CANADA,Risk Advisory Services,,https://www.bflcanada.ca/risk-advisory-services/,ats,ukg_pro
Bellus Health (Canada),Board of Directors and Executive Committee,,https://www.gsk.com/en-gb/company/board-of-directors-and-leadership-team/,static_html_listing,
Bellus Health (Canada),Our leading scientistsOur leading scientistsDr Tony WoodDr Sabine LuikDr Hesham Ahmed AbdullahDr Kaivan KhavandiDr Christopher Austin,,https://www.gsk.com/en-gb/innovation/our-leading-scientists/,static_html_listing,
Bellus Health (Canada),Clinical trials at GSKClinical trials at GSKProvision of unapproved medicines for unmet medical needsData transparencyRepresentative clinical studies,,https://www.gsk.com/en-gb/innovation/trials/,static_html_listing,
Bellus Health (Canada),Representative clinical studies,,https://www.gsk.com/en-gb/innovation/trials/representative-clinical-studies/,static_html_listing,
Bellus Health (Canada),Analyst consensus,,https://www.gsk.com/en-gb/investors/analyst-consensus/,static_html_listing,
Bellus Health (Canada),Engineering at GSK,,https://www.gsk.com/en-gb/careers/experienced-professionals/engineering/,static_html_listing,
Bellus Health (Canada),Graduate programmeGraduate programmeBusiness operationsEngineeringManufacturing & supplyCommercialResearch & developmentManufacturing sciences & technology,,https://www.gsk.com/en-gb/careers/early-careers/graduate-programme/,static_html_listing,
Bellus Health (Canada),Engineering,,https://www.gsk.com/en-gb/careers/early-careers/graduate-programme/engineering/,static_html_listing,
Bellus Health (Canada),Social media directory,,https://www.gsk.com/en-gb/media/social-media/,static_html_listing,
